Event,Sport
Basketball Men's Basketball,Basketball
Judo Men's Extra-Lightweight,Judo
Football Men's Football,Football
Tug-Of-War Men's Tug-Of-War,Tug-Of-War
Speed Skating Women's 500 metres,Speed Skating
"Speed Skating Women's 1,000 metres",Speed Skating
Cross Country Skiing Men's 10 kilometres,Cross Country Skiing
Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing
Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
Athletics Women's 100 metres,Athletics
Athletics Women's 4 x 100 metres Relay,Athletics
Ice Hockey Men's Ice Hockey,Ice Hockey
Swimming Men's 400 metres Freestyle,Swimming
Badminton Men's Singles,Badminton
Sailing Women's Windsurfer,Sailing
Biathlon Women's 7.5 kilometres Sprint,Biathlon
Swimming Men's 200 metres Breaststroke,Swimming
Swimming Men's 400 metres Breaststroke,Swimming
Gymnastics Men's Individual All-Around,Gymnastics
Gymnastics Men's Team All-Around,Gymnastics
Gymnastics Men's Floor Exercise,Gymnastics
Gymnastics Men's Horse Vault,Gymnastics
Gymnastics Men's Parallel Bars,Gymnastics
Gymnastics Men's Horizontal Bar,Gymnastics
Gymnastics Men's Rings,Gymnastics
Gymnastics Men's Pommelled Horse,Gymnastics
Athletics Men's Shot Put,Athletics
"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions
Alpine Skiing Men's Downhill,Alpine Skiing
Alpine Skiing Men's Super G,Alpine Skiing
Alpine Skiing Men's Giant Slalom,Alpine Skiing
Alpine Skiing Men's Slalom,Alpine Skiing
Alpine Skiing Men's Combined,Alpine Skiing
Handball Women's Handball,Handball
Weightlifting Women's Super-Heavyweight,Weightlifting
"Wrestling Men's Light-Heavyweight, Greco-Roman",Wrestling
Speed Skating Men's 500 metres,Speed Skating
"Speed Skating Men's 1,500 metres",Speed Skating
"Gymnastics Men's Team All-Around, Free System",Gymnastics
Luge Women's Singles,Luge
Water Polo Men's Water Polo,Water Polo
Sailing Mixed Three Person Keelboat,Sailing
Hockey Women's Hockey,Hockey
Rowing Men's Lightweight Double Sculls,Rowing
Athletics Men's Pole Vault,Athletics
Athletics Men's High Jump,Athletics
Sailing Men's Two Person Dinghy,Sailing
"Athletics Men's 1,500 metres",Athletics
Bobsleigh Men's Four,Bobsleigh
Swimming Men's 100 metres Butterfly,Swimming
Swimming Men's 200 metres Butterfly,Swimming
Swimming Men's 4 x 100 metres Medley Relay,Swimming
Football Women's Football,Football
"Fencing Men's Foil, Individual",Fencing
"Fencing Men's epee, Individual",Fencing
"Fencing Men's epee, Team",Fencing
"Speed Skating Men's 5,000 metres",Speed Skating
"Speed Skating Men's 10,000 metres",Speed Skating
Sailing Mixed 8 metres,Sailing
"Equestrianism Mixed Jumping, Individual",Equestrianism
Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Shooting
"Shooting Men's Rapid-Fire Pistol, 25 metres",Shooting
Shooting Men's Trap,Shooting
Athletics Men's 4 x 100 metres Relay,Athletics
Athletics Men's Long Jump,Athletics
Boxing Men's Light-Welterweight,Boxing
Athletics Women's Javelin Throw,Athletics
"Wrestling Men's Heavyweight, Freestyle",Wrestling
Taekwondo Men's Flyweight,Taekwondo
Boxing Men's Heavyweight,Boxing
"Athletics Men's 5,000 metres",Athletics
"Cycling Men's Road Race, Individual",Cycling
"Cycling Men's Road Race, Team",Cycling
Weightlifting Men's Lightweight,Weightlifting
Weightlifting Men's Middleweight,Weightlifting
Rowing Men's Coxless Pairs,Rowing
Judo Men's Half-Middleweight,Judo
Taekwondo Women's Flyweight,Taekwondo
Boxing Men's Flyweight,Boxing
Basketball Women's Basketball,Basketball
Diving Men's Platform,Diving
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing
"Canoeing Men's Kayak Fours, 1,000 metres",Canoeing
Handball Men's Handball,Handball
Rowing Women's Coxless Pairs,Rowing
Boxing Men's Middleweight,Boxing
Judo Men's Lightweight,Judo
Boxing Men's Featherweight,Boxing
Tennis Men's Doubles,Tennis
Shooting Mixed Skeet,Shooting
"Wrestling Men's Featherweight, Freestyle",Wrestling
Sailing Mixed Two Person Heavyweight Dinghy,Sailing
Athletics Women's Shot Put,Athletics
Rowing Men's Coxed Eights,Rowing
Cycling Women's Sprint,Cycling
Cycling Women's 500 metres Time Trial,Cycling
Athletics Men's 110 metres Hurdles,Athletics
Shooting Mixed Trap,Shooting
Athletics Women's Marathon,Athletics
Athletics Men's 100 metres,Athletics
"Fencing Men's Foil, Team",Fencing
"Fencing Men's Sabre, Team",Fencing
Swimming Men's 100 metres Freestyle,Swimming
Swimming Men's 4 x 200 metres Freestyle Relay,Swimming
Boxing Men's Lightweight,Boxing
Modern Pentathlon Men's Individual,Modern Pentathlon
Boxing Men's Welterweight,Boxing
Rowing Men's Quadruple Sculls,Rowing
Rowing Men's Double Sculls,Rowing
Rowing Men's Coxed Pairs,Rowing
Athletics Men's 400 metres Hurdles,Athletics
Athletics Men's 400 metres,Athletics
Athletics Men's Hammer Throw,Athletics
Weightlifting Men's Featherweight,Weightlifting
Athletics Men's 800 metres,Athletics
Hockey Men's Hockey,Hockey
Alpine Skiing Women's Slalom,Alpine Skiing
Rowing Women's Single Sculls,Rowing
Swimming Men's 50 metres Freestyle,Swimming
Weightlifting Women's Featherweight,Weightlifting
Water Polo Women's Water Polo,Water Polo
Figure Skating Men's Singles,Figure Skating
Weightlifting Men's Heavyweight,Weightlifting
"Equestrianism Mixed Three-Day Event, Individual",Equestrianism
"Equestrianism Mixed Three-Day Event, Team",Equestrianism
Figure Skating Mixed Team,Figure Skating
Sailing Women's Three Person Keelboat,Sailing
"Cycling Women's Road Race, Individual",Cycling
Golf Women's Individual,Golf
Softball Women's Softball,Softball
Archery Women's Individual,Archery
"Wrestling Men's Heavyweight, Greco-Roman",Wrestling
Volleyball Men's Volleyball,Volleyball
Taekwondo Women's Heavyweight,Taekwondo
Synchronized Swimming Women's Duet,Synchronized Swimming
Synchronized Swimming Women's Team,Synchronized Swimming
Taekwondo Women's Featherweight,Taekwondo
Athletics Men's Marathon,Athletics
Athletics Men's 4 x 400 metres Relay,Athletics
"Athletics Men's 10,000 metres",Athletics
"Athletics Women's 3,000 metres",Athletics
Diving Women's Platform,Diving
"Shooting Men's Air Rifle, 10 metres",Shooting
Athletics Men's 200 metres,Athletics
Weightlifting Men's Flyweight,Weightlifting
Swimming Men's 100 metres Backstroke,Swimming
Weightlifting Men's Light-Heavyweight,Weightlifting
"Wrestling Men's Lightweight, Greco-Roman",Wrestling
"Fencing Men's Sabre, Individual",Fencing
"Wrestling Men's Super-Heavyweight, Greco-Roman",Wrestling
"Shooting Men's Free Pistol, 50 metres",Shooting
"Shooting Men's Air Pistol, 10 metres",Shooting
Rowing Men's Coxless Fours,Rowing
Boxing Men's Light-Flyweight,Boxing
Boxing Men's Super-Heavyweight,Boxing
"Wrestling Men's Flyweight, Greco-Roman",Wrestling
"Shooting Women's Air Rifle, 10 metres",Shooting
Weightlifting Men's Middle-Heavyweight,Weightlifting
Athletics Men's Javelin Throw,Athletics
Volleyball Women's Volleyball,Volleyball
"Wrestling Men's Welterweight, Greco-Roman",Wrestling
"Wrestling Men's Middleweight, Greco-Roman",Wrestling
"Athletics Men's 3,000 metres Steeplechase",Athletics
"Wrestling Men's Middleweight, Freestyle",Wrestling
Swimming Women's 100 metres Backstroke,Swimming
Swimming Women's 200 metres Backstroke,Swimming
Swimming Women's 4 x 100 metres Medley Relay,Swimming
"Wrestling Men's Light-Heavyweight, Freestyle",Wrestling
Modern Pentathlon Men's Team,Modern Pentathlon
Boxing Men's Bantamweight,Boxing
Athletics Women's 200 metres,Athletics
Table Tennis Women's Singles,Table Tennis
Table Tennis Women's Doubles,Table Tennis
Shooting Men's Skeet,Shooting
Swimming Women's 50 metres Freestyle,Swimming
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Shooting
Athletics Men's Triple Jump,Athletics
Weightlifting Women's Lightweight,Weightlifting
Athletics Women's Long Jump,Athletics
"Fencing Women's epee, Individual",Fencing
Swimming Men's 200 metres Freestyle,Swimming
Swimming Men's 4 x 100 metres Freestyle Relay,Swimming
Swimming Men's 200 metres Backstroke,Swimming
Swimming Men's 200 metres Individual Medley,Swimming
Swimming Men's 400 metres Individual Medley,Swimming
Badminton Women's Singles,Badminton
Boxing Men's Light-Middleweight,Boxing
Tennis Men's Singles,Tennis
"Wrestling Men's Bantamweight, Freestyle",Wrestling
"Wrestling Men's Flyweight, Freestyle",Wrestling
"Athletics Women's 5,000 metres",Athletics
Weightlifting Women's Light-Heavyweight,Weightlifting
Weightlifting Women's Heavyweight,Weightlifting
Athletics Men's Discus Throw,Athletics
Taekwondo Men's Featherweight,Taekwondo
Taekwondo Men's Welterweight,Taekwondo
Judo Men's Heavyweight,Judo
Cycling Men's Sprint,Cycling
Bobsleigh Men's Two,Bobsleigh
"Wrestling Men's Lightweight, Freestyle",Wrestling
Nordic Combined Men's Team,Nordic Combined
Nordic Combined Men's Individual,Nordic Combined
Baseball Men's Baseball,Baseball
Rowing Men's Coxed Fours,Rowing
Cycling Men's 100 kilometres Team Time Trial,Cycling
Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics
"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions
"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions
Gymnastics Women's Individual All-Around,Gymnastics
Gymnastics Women's Team All-Around,Gymnastics
Gymnastics Women's Floor Exercise,Gymnastics
Gymnastics Women's Horse Vault,Gymnastics
Gymnastics Women's Uneven Bars,Gymnastics
Gymnastics Women's Balance Beam,Gymnastics
Diving Women's Springboard,Diving
Diving Women's Synchronized Springboard,Diving
"Athletics Women's 10,000 metres",Athletics
Sailing Mixed 7 metres,Sailing
Judo Women's Half-Middleweight,Judo
Athletics Men's Decathlon,Athletics
Biathlon Men's 10 kilometres Sprint,Biathlon
Biathlon Men's 20 kilometres,Biathlon
Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
Freestyle Skiing Men's Moguls,Freestyle Skiing
"Wrestling Men's Middleweight A, Greco-Roman",Wrestling
Athletics Women's Discus Throw,Athletics
Swimming Women's 4 x 100 metres Freestyle Relay,Swimming
"Athletics Women's 1,500 metres",Athletics
"Shooting Women's Air Pistol, 10 metres",Shooting
"Shooting Women's Sporting Pistol, 25 metres",Shooting
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing
"Canoeing Men's Kayak Singles, 500 metres",Canoeing
"Canoeing Men's Kayak Singles, 1,000 metres",Canoeing
"Shooting Men's Running Target, 50 metres",Shooting
Judo Women's Half-Heavyweight,Judo
Athletics Women's Pole Vault,Athletics
Rugby Sevens Women's Rugby Sevens,Rugby Sevens
Table Tennis Men's Team,Table Tennis
Figure Skating Mixed Pairs,Figure Skating
Freestyle Skiing Men's Aerials,Freestyle Skiing
Rowing Women's Coxed Eights,Rowing
Athletics Women's 4 x 400 metres Relay,Athletics
Alpine Skiing Women's Giant Slalom,Alpine Skiing
Alpine Skiing Women's Super G,Alpine Skiing
Cross Country Skiing Women's 5 kilometres,Cross Country Skiing
Cross Country Skiing Women's 10 kilometres,Cross Country Skiing
Cross Country Skiing Women's 20 kilometres,Cross Country Skiing
"Cycling Men's 1,000 metres Time Trial",Cycling
"Cycling Men's Individual Pursuit, 4,000 metres",Cycling
"Wrestling Men's Welterweight, Freestyle",Wrestling
"Wrestling Men's Bantamweight, Greco-Roman",Wrestling
Rowing Women's Lightweight Double Sculls,Rowing
Athletics Women's 800 metres,Athletics
Rowing Women's Coxed Quadruple Sculls,Rowing
Biathlon Men's 12.5 kilometres Pursuit,Biathlon
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Biathlon
Rhythmic Gymnastics Women's Individual,Rhythmic Gymnastics
"Canoeing Men's Kayak Singles, Slalom",Canoeing
Archery Men's Individual,Archery
Archery Men's Team,Archery
"Speed Skating Women's 1,500 metres",Speed Skating
Speed Skating Women's Team Pursuit (6 laps),Speed Skating
Cross Country Skiing Men's Sprint,Cross Country Skiing
Athletics Women's 400 metres,Athletics
Figure Skating Women's Singles,Figure Skating
"Speed Skating Men's 1,000 metres",Speed Skating
Trampolining Men's Individual,Trampolining
Beach Volleyball Men's Beach Volleyball,Beach Volleyball
"Cycling Women's Mountainbike, Cross-Country",Cycling
"Athletics Men's Javelin Throw, Both Hands",Athletics
Triathlon Women's Olympic Distance,Triathlon
Gymnastics Women's Team Portable Apparatus,Gymnastics
"Cycling Men's Mountainbike, Cross-Country",Cycling
Athletics Women's 400 metres Hurdles,Athletics
Diving Men's Springboard,Diving
"Wrestling Men's Featherweight, Greco-Roman",Wrestling
Table Tennis Men's Singles,Table Tennis
Art Competitions Mixed Painting,Art Competitions
Cross Country Skiing Women's 3 x 5 kilometres Relay,Cross Country Skiing
Judo Men's Open Class,Judo
Rowing Women's Quadruple Sculls,Rowing
"Gymnastics Men's Team All-Around, Swedish System",Gymnastics
Nordic Combined Men's Sprint,Nordic Combined
Athletics Women's Pentathlon,Athletics
"Art Competitions Mixed Painting, Unknown Event",Art Competitions
"Cycling Men's Team Pursuit, 4,000 metres",Cycling
Weightlifting Women's Middleweight,Weightlifting
"Swimming Men's 1,500 metres Freestyle",Swimming
"Wrestling Women's Light-Heavyweight, Freestyle",Wrestling
Swimming Women's 100 metres Freestyle,Swimming
"Equestrianism Men's Jumping, Individual",Equestrianism
"Equestrianism Men's Jumping, Team",Equestrianism
"Equestrianism Men's Three-Day Event, Individual",Equestrianism
"Equestrianism Men's Three-Day Event, Team",Equestrianism
Alpine Skiing Women's Combined,Alpine Skiing
